  0.16461694898168491       0.70710678118654757     
  0.40931216223253492       0.50000000000000000     
  0.11177267582102297       0.35355339059327379     
  0.11207829366129600       0.25000000000000000     
   8.6793973178410241E-002  0.17677669529663689     
   2.4772663589205393E-002  0.12500000000000000     
   1.7831943817644230E-002   8.8388347648318447E-002
   1.9423610401970159E-002   6.2500000000000000E-002
   2.2088647342999842E-003   4.4194173824159223E-002
   7.6589421157862610E-003   3.1250000000000000E-002
   8.4518839255184643E-003   2.2097086912079612E-002
   3.7179327891313429E-003   1.5625000000000000E-002
   1.8176766456524584E-003   1.1048543456039806E-002
   1.5992469531042738E-004   7.8125000000000000E-003
   2.1383022861593947E-003   5.5242717280199029E-003
   1.8091236936165220E-003   3.9062500000000000E-003
   1.0246496376407868E-003   2.7621358640099515E-003
   2.7751166575323014E-004   1.9531250000000000E-003
   1.3539060512925973E-004   1.3810679320049757E-003
   2.5177697622780215E-004   9.7656250000000000E-004
   5.3355509394928142E-005   6.9053396600248786E-004
   3.8460511535915061E-005   4.8828125000000000E-004
   1.8814378417198623E-004   3.4526698300124393E-004
   1.3544043670822591E-005   2.4414062500000000E-004
