 A integral deve valer:    25.833333333333332     
 			N		integral monte carlo		razao	
           2   21.580728817973139       0.16461694898168491     
           4   36.407230857673817       0.40931216223253492     
           8   28.720794125376425       0.11177267582102297     
          16   28.728689252916812       0.11207829366129600     
          32   28.075510973775597        8.6793973178410241E-002
          64   25.193372857278860        2.4772663589205393E-002
         128   26.293991881955808        1.7831943817644230E-002
         256   26.335109935384228        1.9423610401970159E-002
         512   25.776270994363916        2.2088647342999842E-003
        1024   25.635477328675520        7.6589421157862610E-003
        2048   25.614992998590772        8.4518839255184643E-003
        4096   25.737286736280772        3.7179327891313429E-003
        8192   25.786376686653977        1.8176766456524584E-003
       16384   25.837464721295518        1.5992469531042738E-004
       32768   25.888572809059117        2.1383022861593947E-003
       65536   25.786597637914905        1.8091236936165220E-003
      131072   25.806863217694278        1.0246496376407868E-003
      262144   25.840502384698624        2.7751166575323014E-004
      524288   25.829835742700826        1.3539060512925973E-004
     1048576   25.826829094780781        2.5177697622780215E-004
     2097152   25.831954982673963        5.3355509394928142E-005
     4194304   25.832339770118654        3.8460511535915061E-005
     8388608   25.838193714424442        1.8814378417198623E-004
    16777216   25.832983445538503        1.3544043670822591E-005
